idx,clusterP,nvox,vol,maxint,minx,miny,minz,maxx,maxy,maxz,peakx,peaky,peakz,cmx,cmy,cmz,maxintinv
1,6.25e-05,4175,33400,0,-7,-37,-27,-47,29,43,-27,5,-19,-24.5,-6.2,13.5,1
2,0.8871875,6,48,0,-71,-13,17,-73,-7,23,-73,-9,17,-72.7,-10.3,20,1
3,0.9365,4,32,0.001,-69,-19,23,-71,-17,25,-71,-17,25,-70,-17.5,24.5,0.999
4,0.9623125,3,24,0.001,-61,-11,15,-63,-9,17,-61,-9,15,-61.7,-9.7,15.7,0.999
5,0.9623125,3,24,0.001,-37,11,-13,-39,13,-11,-37,13,-11,-37.7,11.7,-12.3,0.999
6,0.982875,2,16,0.001,-9,23,3,-11,25,3,-11,23,3,-10,24,3,0.999
7,0.982875,2,16,0.003,-29,-35,3,-29,-33,3,-29,-33,3,-29,-34,3,0.997
8,0.982875,2,16,0.003,-17,25,1,-17,25,3,-17,25,3,-17,25,2,0.997
9,0.982875,2,16,0.003,-11,23,-3,-11,25,-3,-11,25,-3,-11,24,-3,0.997
10,0.9976875,1,8,0.003,-45,-11,39,-45,-11,39,-45,-11,39,-45,-11,39,0.997
11,0.9976875,1,8,0.005,-27,17,31,-27,17,31,-27,17,31,-27,17,31,0.995
12,0.9976875,1,8,0.003,-31,15,25,-31,15,25,-31,15,25,-31,15,25,0.997
13,0.9976875,1,8,0.003,-57,-11,23,-57,-11,23,-57,-11,23,-57,-11,23,0.997
14,0.9976875,1,8,0.002,-45,-15,15,-45,-15,15,-45,-15,15,-45,-15,15,0.998
15,0.9976875,1,8,0.004,-45,-7,13,-45,-7,13,-45,-7,13,-45,-7,13,0.996
16,0.9976875,1,8,0.001,-73,-9,13,-73,-9,13,-73,-9,13,-73,-9,13,0.999
17,0.9976875,1,8,0.005,-49,-13,13,-49,-13,13,-49,-13,13,-49,-13,13,0.995
18,0.9976875,1,8,0.004,-5,19,7,-5,19,7,-5,19,7,-5,19,7,0.996
19,0.9976875,1,8,0.005,-23,-31,7,-23,-31,7,-23,-31,7,-23,-31,7,0.995
20,0.9976875,1,8,0.001,-27,-29,3,-27,-29,3,-27,-29,3,-27,-29,3,0.999
21,0.9976875,1,8,0.002,-37,-21,-1,-37,-21,-1,-37,-21,-1,-37,-21,-1,0.998
22,0.9976875,1,8,0.001,-7,23,-3,-7,23,-3,-7,23,-3,-7,23,-3,0.999
23,0.9976875,1,8,0.002,-21,-25,-5,-21,-25,-5,-21,-25,-5,-21,-25,-5,0.998
24,0.9976875,1,8,0.003,-11,21,-7,-11,21,-7,-11,21,-7,-11,21,-7,0.997
25,0.9976875,1,8,0.003,-29,-17,-13,-29,-17,-13,-29,-17,-13,-29,-17,-13,0.997
26,0.9976875,1,8,0.004,-33,-19,-13,-33,-19,-13,-33,-19,-13,-33,-19,-13,0.996
27,0.9976875,1,8,0.005,-43,-1,-15,-43,-1,-15,-43,-1,-15,-43,-1,-15,0.995
28,0.9976875,1,8,0.002,-31,11,-21,-31,11,-21,-31,11,-21,-31,11,-21,0.998
29,0.9976875,1,8,0.002,-35,-5,-23,-35,-5,-23,-35,-5,-23,-35,-5,-23,0.998
30,0.9976875,1,8,0.004,-37,-1,-25,-37,-1,-25,-37,-1,-25,-37,-1,-25,0.996
